freq,unit,accident,victim,pers_cat,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,COLLIS,INJ_SRL,TOTAL,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,CZ	4 	1 	30 	1 	1 	4 	0 	0 	: 	3 	8 	4 	2 	2 	12 	8 	0 	1 
A,NR,COLLIS,INJ_SRL,TOTAL,DE	10 	8 	28 	9 	4 	26 	6 	2 	8 	2 	28 	40 	3 	8 	8 	0 	20 	2 
A,NR,COLLIS,INJ_SRL,TOTAL,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,EE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,EL	5 	2 	0 	0 	2 	0 	1 	1 	0 	2 	0 	0 	1 	0 	0 	0 	1 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,ES	0 	2 	0 	1 	1 	0 	3 	3 	2 	0 	0 	5 	5 	19 	1 	1 	6 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,EU27_2020	: 	: 	: 	: 	236 	45 	120 	31 	: 	24 	76 	75 	36 	45 	29 	21 	54 	27 
A,NR,COLLIS,INJ_SRL,TOTAL,FI	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,FR	3 	2 	2 	3 	1 	1 	4 	0 	5 	0 	1 	0 	7 	0 	1 	2 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,HR	: 	: 	: 	: 	0 	0 	3 	0 	1 	0 	0 	0 	0 	0 	0 	1 	2 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,HU	2 	4 	3 	0 	1 	0 	0 	0 	0 	3 	2 	0 	0 	1 	0 	0 	3 	2 
A,NR,COLLIS,INJ_SRL,TOTAL,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,IT	15 	1 	0 	18 	1 	0 	0 	0 	1 	0 	15 	2 	3 	0 	0 	2 	1 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,TOTAL,MK	: 	: 	: 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	: 	: 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,TOTAL,NL	4 	1 	0 	1 	0 	0 	29 	0 	0 	1 	2 	0 	0 	0 	0 	0 	0 	9 
A,NR,COLLIS,INJ_SRL,TOTAL,NO	0 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,PL	2 	1 	6 	1 	13 	6 	61 	1 	3 	2 	2 	13 	1 	0 	0 	0 	0 	3 
A,NR,COLLIS,INJ_SRL,TOTAL,PT	1 	0 	0 	0 	0 	0 	2 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,RO	0 	0 	0 	3 	14 	1 	0 	13 	1 	4 	0 	0 	0 	10 	0 	0 	1 	8 
A,NR,COLLIS,INJ_SRL,TOTAL,SE	0 	0 	0 	0 	9 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	2 
A,NR,COLLIS,INJ_SRL,TOTAL,SI	0 	0 	7 	2 	0 	6 	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,SK	0 	0 	1 	0 	15 	0 	7 	0 	0 	0 	1 	2 	3 	0 	0 	0 	18 	0 
A,NR,COLLIS,INJ_SRL,TOTAL,TR	11 	0 	31 	7 	29 	16 	29 	0 	0 	2 	0 	0 	1 	: 	4 	0 	: 	: 
A,NR,COLLIS,INJ_SRL,TOTAL,UK	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	1 	0 	0 	: 	: 	: 
A,NR,COLLIS,INJ_SRL,UA_PER,AT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
